tp_grau_academico,co_curso,enade_faixa
tecnologico,120201,4
bacharelado,120346,4
bacharelado,120450,4
bacharelado,120595,3
bacharelado,120599,3
bacharelado,120747,3
tecnologico,120803,4
bacharelado,120820,3
bacharelado,120822,2
bacharelado,120832,5
bacharelado,120848,3
bacharelado,121170,1
bacharelado,121376,4
bacharelado,121378,4
bacharelado,121385,4
bacharelado,121395,3
bacharelado,121403,3
bacharelado,121405,3
bacharelado,121476,0
bacharelado,121492,5
bacharelado,121578,2
bacharelado,121593,3
bacharelado,121604,3
bacharelado,121669,4
bacharelado,121677,3
bacharelado,121779,4
tecnologico,121888,3
bacharelado,121892,3
bacharelado,121932,3
tecnologico,122076,4
bacharelado,122166,1
bacharelado,122406,3
bacharelado,122532,2
bacharelado,122752,3
bacharelado,122813,3
bacharelado,122908,3
bacharelado,123052,2
tecnologico,123105,4
bacharelado,123345,4
tecnologico,123394,5
bacharelado,123427,4
bacharelado,123823,2
bacharelado,150095,4
bacharelado,150124,4
bacharelado,150243,2
bacharelado,150263,3
bacharelado,312703,4
bacharelado,314238,4
bacharelado,382876,4
bacharelado,1032890,5
bacharelado,1077609,2
bacharelado,1078717,5
bacharelado,1078718,4
bacharelado,1078719,5
bacharelado,1083678,3
bacharelado,1083680,4
bacharelado,1100005,4
tecnologico,1100883,3
bacharelado,1101544,3
bacharelado,1101758,5
bacharelado,1102064,4
bacharelado,1102184,4
tecnologico,1102487,0
bacharelado,1102664,4
bacharelado,1102668,3
bacharelado,1102673,3
bacharelado,1102999,3
bacharelado,1103070,5
tecnologico,1103187,3
bacharelado,1103311,3
tecnologico,1103318,4
tecnologico,1103648,3
bacharelado,1103695,3
bacharelado,1103697,4
bacharelado,1105183,3
tecnologico,1105377,3
bacharelado,1106428,2
bacharelado,1107233,5
bacharelado,1107692,4
bacharelado,1107861,4
bacharelado,1108087,4
bacharelado,1109223,3
bacharelado,1110415,4
bacharelado,1110906,5
bacharelado,1111393,2
bacharelado,1111410,4
tecnologico,1111970,5
bacharelado,1112986,2
bacharelado,1113667,1
bacharelado,1114299,3
bacharelado,1116908,4
tecnologico,1116969,4
bacharelado,1117877,3
bacharelado,1119202,5
bacharelado,1120660,4
bacharelado,1122220,5
