tp_grau_academico,co_curso,enade_faixa,cpc_faixa
licenciatura,13304,4,3
bacharelado,24668,4,4
bacharelado,24868,4,4
bacharelado,26911,4,4
bacharelado,13459,4,4
licenciatura,1110230,3,3
bacharelado,13575,4,4
licenciatura,21847,3,3
bacharelado,45008,4,4
licenciatura,45009,5,4
bacharelado,18881,3,4
licenciatura,112656,3,4
licenciatura,13982,4,4
licenciatura,116834,4,3
bacharelado,313982,3,3
bacharelado,416834,2,3
bacharelado,1295548,4,4
licenciatura,14221,4,4
bacharelado,314221,4,4
licenciatura,14348,4,4
bacharelado,314348,4,4
bacharelado,14513,3,4
licenciatura,101274,5,4
bacharelado,401274,4,4
bacharelado,1108032,2,4
licenciatura,1108041,4,3
bacharelado,113739,3,3
licenciatura,113743,3,3
licenciatura,1214163,3,3
licenciatura,1278733,5,4
bacharelado,21544,3,4
licenciatura,121796,2,3
bacharelado,385458,2,3
licenciatura,101241,2,3
bacharelado,401241,1,3
licenciatura,1214129,2,3
licenciatura,1268562,2,2
bacharelado,69747,1,3
licenciatura,20574,2,2
bacharelado,320574,2,3
bacharelado,38231,5,4
licenciatura,113050,1,2
licenciatura,123588,3,4
bacharelado,1265863,1,3
licenciatura,1185330,4,3
licenciatura,1191222,3,4
licenciatura,1262435,3,3
licenciatura,13436,2,2
bacharelado,313436,4,4
licenciatura,1106595,2,3
licenciatura,110742,2,3
bacharelado,1316022,2,4
licenciatura,116922,3,4
bacharelado,416922,3,4
bacharelado,114989,2,3
licenciatura,1300456,4,4
bacharelado,95731,2,4
licenciatura,1174683,3,4
licenciatura,1167962,3,4
licenciatura,5000407,4,4
licenciatura,5000408,3,4
licenciatura,1272864,2,4
licenciatura,1388352,2,3
bacharelado,26978,5,4
bacharelado,34992,5,4
bacharelado,1108064,4,4
bacharelado,116832,4,3
bacharelado,92117,5,4
bacharelado,102935,3,4
bacharelado,2450,4,4
bacharelado,64650,3,3
bacharelado,1438181,4,4
bacharelado,11447,4,4
bacharelado,116758,4,4
bacharelado,20037,4,4
bacharelado,121496,4,4
bacharelado,1153949,4,4
bacharelado,1139972,3,3
bacharelado,13319,4,4
